# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed May 21 10:45:31 2025
#
# User preference: *
#
# CONSTRAINT:  where (tran_flag = 1
# CONSTRAINT:  and pl_orbper not null
# CONSTRAINT:  and pl_orbpererr1 > 0
# CONSTRAINT:  and pl_rade not null
# CONSTRAINT:  and pl_radeerr1 > 0
# CONSTRAINT:  and pl_tranmid not null
# CONSTRAINT:  and pl_tranmiderr1 > 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN tran_flag:      Detected by Transits
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_trandurerr1: Transit Duration Upper Unc. [hours]
# COLUMN pl_trandurlim:  Transit Duration Limit Flag
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Semi-Major Axis to Stellar Radius Upper Unc.
# COLUMN pl_ratdorlim:   Ratio of Semi-Major Axis to Stellar Radius Limit Flag
# COLUMN pl_orblper:     Argument of Periastron [deg]
# COLUMN pl_orblpererr1: Argument of Periastron Upper Unc. [deg]
# COLUMN pl_orblperlim:  Argument of Periastron Limit Flag
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN pl_rvamperr1:   Radial Velocity Amplitude Upper Unc. [m/s]
# COLUMN pl_rvamplim:    Radial Velocity Amplitude Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_hmag:        H (2MASS) Magnitude
# COLUMN sy_hmagerr1:    H (2MASS) Magnitude Upper Unc
# COLUMN sy_hmagerr2:    H (2MASS) Magnitude Lower Unc
#
pl_name,tran_flag,pl_orbper,pl_orbpererr1,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqtlim,pl_tranmid,pl_tranmiderr1,pl_tranmidlim,pl_trandur,pl_trandurerr1,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorlim,pl_orblper,pl_orblpererr1,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamplim,st_teff,st_tefferr1,st_tefflim,st_rad,st_raderr1,st_radlim,st_mass,st_masserr1,st_masslim,st_met,st_meterr1,st_metlim,rastr,ra,decstr,dec,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2
CoRoT-14 b,1,1.51214000000,0.00013000000,0,0.0270000000,0.0020000000,0,12.22000000,0.78000000,0,2415.40000000,190.70000000,0,0.000000,,0,1952.00,66.00,0,2454787.66940000,0.00530000,0,1.6620000,0.0440000,0,4.780000,0.280000,0,,,,1230.00000,34.00000,0,6035.00,100.00,0,1.210000,0.080000,0,1.130000,0.090000,0,0.0500,0.1500,0,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,15.9320000,0.2060000,-0.2060000,14.0070000,0.0470000,-0.0470000
CoRoT-16 b,1,5.35227000000,0.00020000000,0,0.0618000000,0.0015000000,0,13.11000000,1.79000000,0,170.03200000,27.01400000,0,0.330000,0.090000,0,,,,2454923.91380000,0.00210000,0,2.3900000,0.0900000,0,11.200000,1.210000,0,168.4100,22.8300,0,61.96000,9.47000,0,5650.00,100.00,0,1.190000,0.140000,0,1.098000,0.082000,0,0.1900,0.0600,0,18h34m05.92s,278.5246658,-06d00m09.37s,-6.0026026,16.0520000,0.2170000,-0.2170000,12.9800000,0.0300000,-0.0300000
CoRoT-17 b,1,3.76810000000,0.00030000000,0,0.0461000000,0.0008000000,0,11.43000000,0.78000000,0,772.29000000,95.34000000,0,0.000000,,0,1626.00,31.00,0,2454923.30930000,0.00360000,0,4.7200100,0.0000000,0,6.230000,0.240000,0,0.0000,,0,312.40000,29.00000,0,5740.00,80.00,0,1.590000,0.070000,0,1.040000,0.100000,0,0.0000,0.1000,0,18h34m47.82s,278.6992360,-06d36m44.24s,-6.6122880,16.2900000,0.3200000,-0.3200000,12.6150000,0.0630000,-0.0630000
CoRoT-18 b,1,1.90006930000,0.00000280000,0,0.0295000000,0.0016000000,0,14.68000000,2.02000000,0,1102.82000000,120.77000000,0,0.080000,,1,1550.00,90.00,0,2455321.72412000,0.00018000,0,2.3870000,0.0380000,0,6.350000,0.400000,0,,,,590.00000,14.00000,0,5440.00,100.00,0,0.883000,0.025000,0,0.861000,0.061000,0,-0.1000,0.1000,0,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045,14.8680000,0.1720000,-0.1720000,13.0810000,0.0310000,-0.0310000
CoRoT-19 b,1,3.89713000000,0.00002000000,0,0.0518000000,0.0008000000,0,14.46000000,0.34000000,0,352.78000000,19.07000000,0,0.047000,0.045000,0,2000.00,150.00,0,2455257.44102000,0.00060000,0,4.7000000,0.1000000,0,6.700000,0.100000,0,,,,126.00000,6.00000,0,6090.00,70.00,0,1.650000,0.040000,0,1.210000,0.050000,0,-0.0200,0.1000,0,06h28m08.06s,97.0335983,-00d10m14.63s,-0.1707293,14.1350000,0.1490000,-0.1490000,11.9610000,0.0220000,-0.0220000
CoRoT-2 b,1,1.74299350000,0.00000100000,0,0.0279800000,0.0007600000,0,16.43200000,0.47100000,0,1102.82000000,69.92000000,0,0.014300,0.007700,0,1521.00,18.00,0,2454237.53556000,0.00020000,0,2.2670400,0.0026400,0,6.700000,0.030000,0,102.0000,17.0000,0,603.00000,18.00000,0,5625.00,120.00,0,0.906000,0.026000,0,0.960000,0.080000,0,0.0400,0.0500,0,19h27m06.49s,291.7770457,+01d23m01.19s,1.3836634,12.5160000,0.0920000,-0.0920000,10.4380000,0.0370000,-0.0370000
CoRoT-20 b,1,9.24285000000,0.00030000000,0,0.0900000000,0.0020000000,0,9.41556000,0.44836000,0,1366.66900000,63.56600000,0,0.590000,0.020000,0,1024.00,16.00,0,2455266.00010000,0.00140000,0,2.2248000,0.0456000,0,18.950000,0.630000,0,60.1000,2.5000,0,467.00000,14.00000,0,4947.50,65.51,0,1.370370,0.029553,0,1.140000,0.080000,0,0.1400,0.1200,0,06h30m52.90s,97.7204249,+00d13m36.82s,0.2268931,14.6300000,0.0920000,-0.0920000,12.6520000,0.0270000,-0.0270000
CoRoT-21 b,1,2.72474000000,0.00014000000,0,0.0417000000,0.0011000000,0,14.57170000,1.56926000,0,718.29580000,98.52730000,0,0.000000,,0,,,,2454399.02820000,0.00090000,0,4.7600000,,0,4.600000,0.260000,0,,,,274.00000,35.00000,0,6200.00,100.00,0,1.950000,0.210000,0,1.290000,0.090000,0,0.0000,0.1000,0,06h44m12.63s,101.0526207,-00d17m56.96s,-0.2991544,16.0580000,0.4350000,-0.4350000,13.9800000,0.0440000,-0.0440000
CoRoT-22 b,1,9.75598000000,0.00011000000,0,0.0920000000,0.0014000000,0,4.88000000,0.17000000,0,12.20000000,14.00000000,0,0.077000,0.300000,0,885.00,53.00,0,2454598.42014000,0.00099000,0,4.4920000,0.0390000,0,17.300000,1.300000,0,210.0000,70.0000,0,3.70000,3.90000,0,5939.00,54.00,0,1.136000,0.038000,0,1.099000,0.049000,0,0.1700,0.0700,0,18h42m40.11s,280.6671392,+06d13m09.00s,6.2191669,13.8200000,0.1140000,-0.1140000,12.0990000,0.0270000,-0.0270000
CoRoT-23 b,1,3.63130000000,0.00010000000,0,0.0480000000,0.0040000000,0,11.77000000,1.46000000,0,889.90000000,95.30000000,0,0.160000,0.020000,0,1660.00,,0,2455308.93900000,0.00100000,0,3.8880000,0.0540000,0,6.850000,0.600000,0,52.0000,9.0000,0,377.00000,34.00000,0,5900.00,100.00,0,1.610000,0.180000,0,1.140000,0.080000,0,0.0500,0.1000,0,18h39m07.84s,279.7826586,+04d21m27.91s,4.3577516,15.6750000,0.2060000,-0.2060000,12.4500000,0.0290000,-0.0290000
CoRoT-24 b,1,5.11340000000,0.00060000000,0,0.0560000000,0.0020000000,0,3.70000000,0.40000000,0,5.70000000,,1,0.000000,,0,1070.00,140.00,0,2454789.61100000,0.00600000,0,2.8500000,0.2500000,0,10.900000,2.800000,0,,,,2.10000,,0,4950.00,150.00,0,0.860000,0.090000,0,0.910000,0.090000,0,0.3000,0.1500,0,06h47m41.41s,101.9225430,-03d43m09.44s,-3.7192892,15.3830000,0.1140000,-0.1140000,13.0460000,0.0310000,-0.0310000
CoRoT-24 c,1,11.75900000000,0.00630000000,0,0.0980000000,0.0030000000,0,5.00000000,0.50000000,0,28.00000000,11.00000000,0,0.000000,,0,850.00,80.00,0,2454795.38030000,0.02650000,0,4.8000000,0.2000000,0,18.000000,2.500000,0,,,,8.30000,2.90000,0,4950.00,150.00,0,0.860000,0.090000,0,0.910000,0.090000,0,0.3000,0.1500,0,06h47m41.41s,101.9225430,-03d43m09.44s,-3.7192892,15.3830000,0.1140000,-0.1140000,13.0460000,0.0310000,-0.0310000
CoRoT-25 b,1,4.86069000000,0.00006000000,0,0.0578000000,0.0020000000,0,12.11000000,3.40000000,0,85.81000000,12.71000000,0,0.000000,,0,1330.00,80.00,0,2454576.21560000,0.00080000,0,1.9200000,0.0600000,0,10.200000,1.100000,0,,,,29.00000,4.00000,0,6040.00,90.00,0,1.190000,0.140000,0,1.090000,0.110000,0,-0.0100,0.1300,0,18h42m31.12s,280.6296561,+06d30m49.76s,6.5138223,14.7900000,0.1720000,-0.1720000,12.9900000,0.0320000,-0.0320000
CoRoT-26 b,1,4.20474000000,0.00005000000,0,0.0526000000,0.0010000000,0,14.12000000,1.46000000,0,165.26000000,15.89000000,0,0.000000,,0,1600.00,80.00,0,2454573.62990000,0.00080000,0,5.4700000,0.0600000,0,6.280000,0.010000,0,,,,61.00000,5.00000,0,5590.00,100.00,0,1.790000,0.180000,0,1.090000,0.060000,0,0.0100,0.1300,0,18h39m00.12s,279.7504991,+06d58m11.22s,6.9697828,15.8610000,0.1950000,-0.1950000,13.3580000,0.0350000,-0.0350000
CoRoT-27 b,1,3.57532000000,0.00006000000,0,0.0476000000,0.0066000000,0,11.28700000,0.49300000,0,3302.11000000,174.80000000,0,0.065000,,1,1500.00,130.00,0,2455748.68400000,0.00100000,0,2.7700000,0.0600000,0,9.480000,0.950000,0,,,,1326.00000,33.00000,0,5900.00,120.00,0,1.080000,0.180000,0,1.050000,0.110000,0,-0.1000,0.1000,0,18h33m59.00s,278.4958319,+05d32m18.17s,5.5383811,15.7740000,0.1030000,-0.1030000,13.1700000,0.0320000,-0.0320000
CoRoT-28 b,1,5.20851000000,0.00038000000,0,0.0603000000,0.0050000000,0,10.70459500,0.73979400,0,153.82972000,27.65121000,0,0.047000,0.055000,0,,,,2455755.84660000,0.00290000,0,5.7000000,0.0900000,0,7.290000,0.160000,0,126.0000,140.0000,0,56.40000,4.90000,0,5150.00,100.00,0,1.780000,0.110000,0,1.010000,0.140000,0,0.1500,0.1000,0,18h34m45.20s,278.6883216,+05d34m25.29s,5.5736911,13.7830000,0.0690000,-0.0690000,11.1430000,0.0250000,-0.0250000
CoRoT-29 b,1,2.85057000000,0.00000600000,0,0.0386000000,0.0059000000,0,10.08810000,1.79344000,0,270.15550000,63.56600000,0,0.082000,0.081000,0,,,,2455753.11500000,0.00100000,0,2.1900000,0.0400000,0,9.220000,0.190000,0,87.0000,210.0000,0,125.00000,17.00000,0,5260.00,100.00,0,0.900000,0.120000,0,0.970000,0.140000,0,0.2000,0.1000,0,18h35m36.50s,278.9020691,+06d28m46.45s,6.4795703,15.4080000,0.1260000,-0.1260000,13.1200000,0.0210000,-0.0210000
CoRoT-3 b,1,4.25680000000,0.00000500000,0,0.0578300000,0.0008500000,0,11.32000000,0.78000000,0,6883.91000000,317.80000000,0,0.000000,,0,1695.00,57.00,0,2454283.13830000,0.00030000,0,3.3840000,0.0240000,0,7.800000,0.400000,0,,,,2173.00000,25.00000,0,6740.00,140.00,0,1.560000,0.090000,0,1.370000,0.090000,0,0.1400,0.0400,0,19h28m13.27s,292.0552827,+00d07m18.61s,0.1218359,13.4480000,0.0690000,-0.0690000,11.7100000,0.0420000,-0.0420000
CoRoT-30 b,1,9.06005000000,0.00024000000,0,0.0844000000,0.0012000000,0,11.30988100,0.85188400,0,921.70700000,69.92260000,0,0.007000,0.031000,0,,,,2455665.51460000,0.00120000,0,,,,21.000000,1.400000,0,178.1000,100.2000,0,283.00000,20.00000,0,5650.00,100.00,0,0.910000,0.090000,0,0.980000,0.030000,0,0.0200,0.1000,0,18h30m24.28s,277.6011767,+06d50m09.36s,6.8359338,15.5710000,0.1260000,-0.1260000,13.5510000,0.0370000,-0.0370000
CoRoT-31 b,1,4.62941000000,0.00075000000,0,0.0586000000,0.0034000000,0,16.36514000,3.36270000,0,266.97720000,108.06220000,0,0.020000,0.160000,0,,,,2455843.94450000,0.00440000,0,,,,7.200000,2.900000,0,303.6000,107.9000,0,88.00000,35.00000,0,5700.00,120.00,0,2.150000,0.560000,0,1.250000,0.220000,0,0.0000,0.1000,0,06h19m16.98s,94.8207350,-04d25m20.27s,-4.4222978,15.4790000,0.3090000,-0.3090000,13.4690000,0.0240000,-0.0240000
CoRoT-35 b,1,3.22748000000,0.00008000000,0,0.0429000000,0.0009200000,0,18.83108758,1.23298788,0,349.61124770,117.59651059,0,0.000000,,0,1747.00,62.00,0,2456074.24150000,0.00180000,0,4.1900000,0.0800000,0,,,,,,,150.00000,50.00000,0,6390.00,130.00,0,1.650000,0.100000,0,1.010000,0.070000,0,-0.5000,0.1000,0,19h17m15.44s,289.3143526,-02d46m28.95s,-2.7747085,15.6350000,0.2290000,-0.2290000,13.0540000,0.0300000,-0.0300000
CoRoT-36 b,1,5.61653100000,0.00002300000,0,0.0660000000,0.0070000000,0,15.80466279,1.56925730,0,216.12331676,149.37935129,1,0.000000,,0,1567.00,35.00,0,2455662.52236000,0.00034000,0,4.9800000,0.0700000,0,,,,,,,65.00000,45.00000,0,6730.00,140.00,0,1.520000,0.200000,0,1.320000,0.090000,0,-0.1000,0.1000,0,18h31m00.24s,277.7510149,+07d11m00.05s,7.1833465,13.1260000,0.0690000,-0.0690000,11.6410000,0.0220000,-0.0220000
CoRoT-4 b,1,9.20205000000,0.00037000000,0,0.0900000000,0.0010000000,0,13.34000000,0.67000000,0,228.83000000,25.43000000,0,0.000000,0.100000,0,1074.00,19.00,0,2454141.36416000,0.00089000,0,4.4317333,0.1887259,0,17.360000,0.050000,0,,,,63.00000,6.00000,0,6190.00,60.00,0,1.170000,0.010000,0,1.160000,0.030000,0,0.0500,0.0700,0,06h48m46.71s,102.1946233,-00d40m22.03s,-0.6727861,13.6520000,0.0920000,-0.0920000,12.3590000,0.0290000,-0.0290000
